id,x,y
0,0,10
245,-0.015625,9.71875
189,-0.03125,9.4375
31,-0.0625,8.875
15,-0.125,7.75
473,-0.15625,7.1875
185,-0.1875,6.625
339,-0.203125,6.34375
197,-0.21875,6.0625
5,-0.25,5.5
829,-0.28125,4.9375
109,-0.3125,4.375
995,-0.34375,3.8125
55,-0.375,3.25
123,-0.4375,2.125
759,-0.453125,1.84375
175,-0.46875,1.5625
3,-0.5,1
827,-0.515625,0.71875
491,-0.53125,0.4375
461,-0.5625,-0.125
539,-0.59375,-0.6875
83,-0.625,-1.25
431,-0.65625,-1.8125
283,-0.6875,-2.375
767,-0.71875,-2.9375
9,-0.75,-3.5
639,-0.765625,-3.78125
375,-0.78125,-4.0625
75,-0.8125,-4.625
21,-0.875,-5.75
409,-0.90625,-6.3125
815,-0.921875,-6.59375
27,-0.9375,-6.875
91,-0.953125,-7.15625
61,-0.96875,-7.4375
901,-0.984375,-7.71875
1,-1,-8
900,-1.46031,-8.16343
101,-0.750757,-8.37726
141,-0.64176,-8.84714
623,-0.587262,-9.08208
60,-0.532764,-9.31702
622,-0.568952,-9.89203
249,-1.30577,-8.99601
351,-1.63778,-9.07045
140,-1.96978,-9.14488
350,-2.81479,-9.48909
248,-1.26223,-9.89613
255,-0.0370138,-8.78651
311,0.319858,-8.99113
795,0.498293,-9.09345
100,0.676729,-9.19576
794,0.890534,-8.78908
403,0.585552,-9.47617
537,0.718399,-9.71868
310,0.851247,-9.9612
536,0.0702115,-9.99753
781,1.16892,-9.58781
402,1.75228,-9.69945
780,1.52539,-9.03042
254,0.274934,-7.97054
383,-0.155027,-7.02819
459,0.244022,-6.96415
90,0.64307,-6.90012
855,0.548614,-7.19138
458,0.853206,-7.4186
854,0.557221,-7.71753
382,0.34484,-6.34928
155,-1.70963,-7.08328
305,-2.0957,-7.18742
115,-2.48177,-7.29156
661,-2.86783,-7.3957
317,-3.2539,-7.49984
683,-3.63996,-7.60398
26,-4.02603,-7.70812
682,-3.66743,-8.05699
316,-3.71533,-6.91175
939,-2.9401,-7.14417
660,-3.01236,-6.89264
938,-3.07412,-6.32491
657,-3.01316,-8.25212
114,-3.54454,-9.21268
656,-2.55654,-8.64256
304,-1.89645,-8.02402
993,-2.13232,-6.58682
154,-2.555,-6.09035
992,-1.82779,-6.38007
814,-0.464247,-6.37005
451,-1.25039,-6.19817
408,-1.59452,-6.08385
450,-1.64512,-5.59703
587,-0.203003,-5.2447
25,0.468994,-4.7394
595,0.804992,-4.48675
107,1.14099,-4.2341
191,1.47699,-3.98145
20,1.81299,-3.7288
243,1.3059,-3.36227
609,1.22035,-3.05268
190,1.13481,-2.74309
867,1.46265,-2.90448
608,1.70494,-2.75628
866,1.76939,-3.24339
242,0.268979,-3.38684
397,2.08655,-4.2137
751,2.55932,-4.2035
859,2.79571,-4.1984
106,3.0321,-4.1933
858,3.03496,-3.65654
750,2.44056,-3.68772
396,2.36929,-4.98126
594,0.388913,-4.13484
273,1.25069,-5.2781
37,2.03238,-5.81681
117,2.81407,-6.35552
137,3.20492,-6.62487
147,3.40034,-6.75954
24,3.59577,-6.89422
543,3.55602,-7.19055
177,3.71169,-7.62155
315,3.86736,-8.05255
521,3.9452,-8.26805
146,4.02303,-8.48356
947,4.31048,-8.41201
520,4.67577,-8.55597
946,4.59104,-8.0358
915,3.61928,-8.47789
955,3.49524,-8.69057
314,3.3712,-8.90324
954,3.19127,-8.43129
914,3.90264,-9.1811
569,4.17093,-7.52056
176,4.63017,-7.41958
568,4.75545,-6.79194
542,2.79267,-7.32186
136,4.31336,-6.16767
761,3.11092,-5.76156
797,3.25934,-5.46459
116,3.40776,-5.16761
796,2.83729,-5.16199
760,3.88325,-5.57505
741,2.08386,-6.24187
617,2.13534,-6.66693
209,2.23831,-7.51705
695,2.28979,-7.94212
611,2.34127,-8.36718
733,2.39275,-8.79224
36,2.44423,-9.2173
732,3.20762,-9.46388
610,1.95857,-8.96688
694,2.87996,-8.14839
303,1.80688,-8.05504
208,1.37545,-8.59302
483,1.49162,-7.93382
302,1.17636,-7.81259
482,1.48851,-7.25191
616,2.5561,-6.79006
740,1.59438,-6.61876
272,1.09178,-6.15203
586,0.326285,-5.60875
415,-1.69712,-4.73916
701,-2.13943,-4.79624
74,-2.58174,-4.85332
700,-2.28966,-5.59759
414,-2.08658,-3.95831
374,-0.0970131,-4.28685
638,-1.26487,-4.0021
777,-1.40537,-3.30953
965,-1.73305,-3.2143
161,-2.06074,-3.11906
933,-2.38842,-3.02383
649,-2.71611,-2.92859
17,-3.37148,-2.73812
67,-4.68221,-2.35719
585,-5.0099,-2.26195
289,-5.33758,-2.16672
8,-5.99295,-1.97625
517,-5.64862,-2.46802
985,-5.80413,-2.61867
288,-5.95965,-2.76932
984,-6.31082,-2.27462
516,-5.35199,-3.10138
911,-4.90591,-1.97548
584,-4.80192,-1.68901
910,-5.24617,-1.58719
71,-3.85595,-1.89817
81,-3.44282,-1.66866
533,-3.23626,-1.5539
66,-3.02969,-1.43915
532,-2.66526,-2.07805
515,-3.19627,-1.1397
159,-2.94971,-0.61075
227,-2.70315,-0.0817967
369,-2.57987,0.18268
635,-2.51823,0.314918
80,-2.45659,0.447156
799,-2.70926,0.627658
973,-2.80477,0.784028
634,-2.90029,0.940398
972,-2.33766,0.919206
798,-3.14377,0.675426
493,-2.10216,0.188719
368,-1.62446,0.194759
492,-1.6041,0.735283
226,-3.67882,0.00928413
553,-2.35963,-0.668712
593,-2.06459,-0.697693
158,-1.76955,-0.726675
592,-1.93455,-1.29798
552,-2.15349,-0.247687
