id,pai,x0,y0,x1,y1,raio,comprimento,fluxo,resistencia,volume
331,0,0,0.05,-4.60569e-05,0.0496823,1,0.000321065,8.33e-06,2.9433e-06,0.00100865
361,331,-4.60569e-05,0.0496823,-0.000368197,0.0472344,0.998331,0.00246895,8.28835e-06,2.27854e-05,0.00773055
5,361,-0.000368197,0.0472344,-0.000921139,0.0436451,0.996655,0.00363164,8.2467e-06,3.37415e-05,0.0113329
11,5,-0.000921139,0.0436451,0.00269442,0.0385372,0.914577,0.00625803,6.37245e-06,8.1997e-05,0.0164448
241,11,0.00269442,0.0385372,0.00488305,0.027755,0.894201,0.0110021,5.95595e-06,0.000157753,0.0276374
299,241,0.00488305,0.027755,0.0054484,0.0258206,0.892112,0.00201534,5.9143e-06,2.91685e-05,0.00503893
311,299,0.0054484,0.0258206,0.00637332,0.0216414,0.887904,0.00428032,5.831e-06,6.31327e-05,0.0106013
49,311,0.00637332,0.0216414,0.00756371,0.0171796,0.885785,0.00461786,5.78935e-06,6.87654e-05,0.0113827
73,49,0.00756371,0.0171796,0.0098915,0.0121138,0.883656,0.00557496,5.7477e-06,8.38209e-05,0.013676
99,73,0.0098915,0.0121138,0.0103514,0.0102237,0.879366,0.00194533,5.6644e-06,2.98234e-05,0.00472588
3,99,0.0103514,0.0102237,0.012548,0.00402944,0.877205,0.00657215,5.62275e-06,0.000101753,0.0158877
227,3,0.012548,0.00402944,0.011181,0.00217564,0.694515,0.00230326,2.79055e-06,9.07525e-05,0.00349024
143,227,0.011181,0.00217564,0.00767198,-0.00180344,0.691042,0.00530534,2.7489e-06,0.000213274,0.00795925
385,143,0.00767198,-0.00180344,0.00441131,-0.00512773,0.687534,0.00465649,2.70725e-06,0.00019104,0.00691508
7,385,0.00441131,-0.00512773,-0.00174327,-0.0106438,0.680409,0.00826472,2.62395e-06,0.0003535,0.0120204
115,7,-0.00174327,-0.0106438,-0.00292982,-0.0200553,0.380295,0.00948602,4.5815e-07,0.0041576,0.00430999
291,115,-0.00292982,-0.0200553,-0.00462994,-0.0220204,0.368403,0.0025985,4.165e-07,0.00129322,0.00110795
81,291,-0.00462994,-0.0220204,-0.00837042,-0.0294637,0.355689,0.00833025,3.7485e-07,0.00477109,0.00331093
87,81,-0.00837042,-0.0294637,-0.00642785,-0.0313092,0.327107,0.00267943,2.9155e-07,0.0021455,0.000900682
191,87,-0.00642785,-0.0313092,-0.00726154,-0.0349351,0.215443,0.00372058,8.33e-08,0.0158314,0.000542534
1,191,-0.00726154,-0.0349351,-0.005,-0.04,0.170998,0.00554686,4.165e-08,0.0594743,0.000509538
190,191,-0.00726154,-0.0349351,-0.0114805,-0.0383834,0.170998,0.00544883,4.165e-08,0.0584233,0.000500533
257,87,-0.00642785,-0.0313092,-0.00449463,-0.0315811,0.292402,0.00195225,2.0825e-07,0.00244826,0.000524379
135,257,-0.00449463,-0.0315811,-0.00137373,-0.0334537,0.271442,0.00363959,1.666e-07,0.00614594,0.000842473
86,135,-0.00137373,-0.0334537,0.00294276,-0.0323128,0.170998,0.00446471,4.165e-08,0.0478713,0.000410131
321,135,-0.00137373,-0.0334537,-1.06058e-05,-0.0353298,0.246621,0.00231907,1.2495e-07,0.00574691,0.000443123
149,321,-1.06058e-05,-0.0353298,0.000428147,-0.0384663,0.215443,0.00316707,8.33e-08,0.0134762,0.000461821
134,149,0.000428147,-0.0384663,0.00206358,-0.0395058,0.170998,0.0019378,4.165e-08,0.0207774,0.000178008
148,149,0.000428147,-0.0384663,-0.0020556,-0.0464076,0.170998,0.00832062,4.165e-08,0.0892151,0.000764339
320,321,-1.06058e-05,-0.0353298,0.00305036,-0.0356772,0.170998,0.00308062,4.165e-08,0.033031,0.000282988
256,257,-0.00449463,-0.0315811,-0.00168947,-0.02875,0.170998,0.00398545,4.165e-08,0.0427326,0.000366106
335,81,-0.00837042,-0.0294637,-0.0104662,-0.0308194,0.215443,0.00249606,8.33e-08,0.010621,0.000363974
80,335,-0.0104662,-0.0308194,-0.0104662,-0.0308194,0.170998,0,4.165e-08,0,0
334,335,-0.0104662,-0.0308194,-0.0147991,-0.0317832,0.170998,0.00443872,4.165e-08,0.0475927,0.000407744
290,291,-0.00462994,-0.0220204,-0.00904987,-0.0208899,0.170998,0.00456222,4.165e-08,0.0489169,0.000419089
114,115,-0.00292982,-0.0200553,0.00159468,-0.0244028,0.170998,0.00627471,4.165e-08,0.0672785,0.0005764
101,7,-0.00174327,-0.0106438,-0.00174327,-0.0106438,0.63825,0,2.1658e-06,0,0
41,101,-0.00174327,-0.0106438,-0.00174327,-0.0106438,0.629961,0,2.0825e-06,0,0
163,41,-0.00174327,-0.0106438,-0.00627034,-0.0127304,0.603681,0.00498481,1.8326e-06,0.000344082,0.00570708
13,163,-0.00627034,-0.0127304,-0.0169673,-0.0195646,0.599073,0.0126938,1.79095e-06,0.000903473,0.014312
45,13,-0.0169673,-0.0195646,-0.0196116,-0.0175534,0.512993,0.00332219,1.12455e-06,0.000439766,0.00274661
181,45,-0.0196116,-0.0175534,-0.0206284,-0.0174,0.5,0.00102836,1.04125e-06,0.000150837,0.00080767
137,181,-0.0206284,-0.0174,-0.0275502,-0.0147348,0.493242,0.00741722,9.996e-07,0.00114879,0.00566907
285,137,-0.0275502,-0.0147348,-0.0281671,-0.0147299,0.479142,0.000616904,9.163e-07,0.000107301,0.000444934
229,285,-0.0281671,-0.0147299,-0.0319858,-0.0141013,0.471769,0.00387004,8.7465e-07,0.000716209,0.00270599
19,229,-0.0319858,-0.0141013,-0.0375077,-0.0142834,0.464159,0.00552495,8.33e-07,0.0010912,0.00373948
47,19,-0.0375077,-0.0142834,-0.0383644,-0.015364,0.327107,0.00137893,2.9155e-07,0.00110415,0.000463522
155,47,-0.0383644,-0.015364,-0.0424756,-0.0163364,0.215443,0.00422461,8.33e-08,0.0179761,0.000616032
6,155,-0.0424756,-0.0163364,-0.0424756,-0.0163364,0.170998,0,4.165e-08,0,0
154,155,-0.0424756,-0.0163364,-0.0472203,-0.0150924,0.170998,0.00490515,4.165e-08,0.0525939,0.000450591
151,47,-0.0383644,-0.015364,-0.0402287,-0.0193262,0.292402,0.00437897,2.0825e-07,0.00549155,0.0011762
175,151,-0.0402287,-0.0193262,-0.0384057,-0.0217655,0.271442,0.00304526,1.666e-07,0.00514233,0.0007049
383,175,-0.0384057,-0.0217655,-0.0392414,-0.023539,0.215443,0.00196059,8.33e-08,0.0083425,0.000285893
46,383,-0.0392414,-0.023539,-0.0385377,-0.026818,0.170998,0.00335359,4.165e-08,0.0359577,0.000308063
382,383,-0.0392414,-0.023539,-0.0428873,-0.0254432,0.170998,0.00411322,4.165e-08,0.0441026,0.000377843
381,175,-0.0384057,-0.0217655,-0.0353338,-0.0237231,0.215443,0.00364262,8.33e-08,0.0154997,0.000531166
174,381,-0.0353338,-0.0237231,-0.0325916,-0.0234898,0.170998,0.00275207,4.165e-08,0.0295082,0.000252807
380,381,-0.0353338,-0.0237231,-0.0343677,-0.0264515,0.170998,0.00289442,4.165e-08,0.0310344,0.000265883
150,151,-0.0402287,-0.0193262,-0.0449051,-0.0217426,0.170998,0.00526377,4.165e-08,0.056439,0.000483534
57,19,-0.0375077,-0.0142834,-0.0398658,-0.0072128,0.402073,0.00745344,5.4145e-07,0.00261446,0.00378543
351,57,-0.0398658,-0.0072128,-0.0410817,-0.0072178,0.292402,0.00121598,2.0825e-07,0.00152493,0.000326616
205,351,-0.0410817,-0.0072178,-0.0437557,-0.00631422,0.271442,0.00282247,1.666e-07,0.00476612,0.000653329
221,205,-0.0437557,-0.00631422,-0.0469709,-0.00235901,0.246621,0.00509722,1.2495e-07,0.0126315,0.000973966
319,221,-0.0469709,-0.00235901,-0.0469709,-0.00235901,0.215443,0,8.33e-08,0,0
18,319,-0.0469709,-0.00235901,-0.0469709,-0.00235901,0.170998,0,4.165e-08,0,0
318,319,-0.0469709,-0.00235901,-0.0440514,-0.000506445,0.170998,0.00345766,4.165e-08,0.0370737,0.000317624
220,221,-0.0469709,-0.00235901,-0.0484191,0.00102381,0.170998,0.00367978,4.165e-08,0.0394553,0.000338028
204,205,-0.0437557,-0.00631422,-0.0486724,-0.00852476,0.170998,0.00539085,4.165e-08,0.0578016,0.000495208
350,351,-0.0410817,-0.0072178,-0.0429095,-0.0100834,0.170998,0.00339887,4.165e-08,0.0364433,0.000312223
343,57,-0.0398658,-0.0072128,-0.0391557,-0.00592659,0.341995,0.00146919,3.332e-07,0.000984556,0.000539843
125,343,-0.0391557,-0.00592659,-0.0371543,-0.00381431,0.327107,0.00290989,2.9155e-07,0.00233004,0.000978151
201,125,-0.0371543,-0.00381431,-0.0377088,-0.000711001,0.246621,0.00315246,1.2495e-07,0.00781214,0.000602365
56,201,-0.0377088,-0.000711001,-0.0371285,0.000421276,0.170998,0.00127231,4.165e-08,0.0136419,0.000116875
211,201,-0.0377088,-0.000711001,-0.0390666,0.00202296,0.215443,0.0030526,8.33e-08,0.0129891,0.000445129
200,211,-0.0390666,0.00202296,-0.042841,0.00392306,0.170998,0.0042257,4.165e-08,0.0453087,0.000388176
210,211,-0.0390666,0.00202296,-0.0380828,0.00716622,0.170998,0.00523652,4.165e-08,0.0561469,0.000481031
267,125,-0.0371543,-0.00381431,-0.0322028,-0.00298013,0.271442,0.00502129,1.666e-07,0.00847913,0.0011623
124,267,-0.0322028,-0.00298013,-0.031647,-0.00239424,0.170998,0.000807527,4.165e-08,0.00865844,7.418e-05
275,267,-0.0322028,-0.00298013,-0.0310382,-0.00295927,0.246621,0.00116471,1.2495e-07,0.00288629,0.000222551
266,275,-0.0310382,-0.00295927,-0.0280173,-0.00514651,0.170998,0.00372965,4.165e-08,0.03999,0.000342609
329,275,-0.0310382,-0.00295927,-0.0304552,-0.00183492,0.215443,0.00126652,8.33e-08,0.00538918,0.000184684
274,329,-0.0304552,-0.00183492,-0.0283457,-0.000819091,0.170998,0.00234134,4.165e-08,0.0251042,0.000215077
328,329,-0.0304552,-0.00183492,-0.0314008,0.00336183,0.170998,0.00528207,4.165e-08,0.0566352,0.000485215
342,343,-0.0391557,-0.00592659,-0.0408192,-0.0034547,0.170998,0.00297952,4.165e-08,0.031947,0.000273701
228,229,-0.0319858,-0.0141013,-0.0332071,-0.00907353,0.170998,0.005174,4.165e-08,0.0554765,0.000475288
284,285,-0.0281671,-0.0147299,-0.0295635,-0.0186096,0.170998,0.00412329,4.165e-08,0.0442106,0.000378769
313,137,-0.0275502,-0.0147348,-0.0272229,-0.012088,0.215443,0.00266697,8.33e-08,0.0113482,0.000388897
136,313,-0.0272229,-0.012088,-0.0284505,-0.00999022,0.170998,0.00243051,4.165e-08,0.0260603,0.000223268
312,313,-0.0272229,-0.012088,-0.024264,-0.00904475,0.170998,0.00424456,4.165e-08,0.0455109,0.000389908
180,181,-0.0206284,-0.0174,-0.0232013,-0.0214689,0.170998,0.00481416,4.165e-08,0.0516182,0.000442232
111,45,-0.0196116,-0.0175534,-0.0181515,-0.0129261,0.215443,0.0048522,8.33e-08,0.0206466,0.000707547
44,111,-0.0181515,-0.0129261,-0.0204655,-0.0065622,0.170998,0.00677151,4.165e-08,0.0726052,0.000622035
110,111,-0.0181515,-0.0129261,-0.0149521,-0.0106131,0.170998,0.00394792,4.165e-08,0.0423302,0.000362659
139,13,-0.0169673,-0.0195646,-0.0170153,-0.0220491,0.430887,0.00248494,6.664e-07,0.000660853,0.00144941
37,139,-0.0170153,-0.0220491,-0.0210319,-0.0339361,0.412129,0.0125473,5.831e-07,0.00398714,0.00669523
63,37,-0.0210319,-0.0339361,-0.0212062,-0.0339399,0.327107,0.000174345,2.9155e-07,0.000139603,5.86053e-05
12,63,-0.0212062,-0.0339399,-0.0232603,-0.0355643,0.170998,0.00261881,4.165e-08,0.0280793,0.000240566
97,63,-0.0212062,-0.0339399,-0.0273617,-0.0314657,0.310723,0.00663418,2.499e-07,0.00652431,0.00201226
365,97,-0.0273617,-0.0314657,-0.0273476,-0.0311475,0.246621,0.000318582,1.2495e-07,0.000789482,6.0874e-05
293,365,-0.0273476,-0.0311475,-0.0286683,-0.0283033,0.215443,0.00313584,8.33e-08,0.0133433,0.000457268
62,293,-0.0286683,-0.0283033,-0.0295486,-0.0277997,0.170998,0.00101413,4.165e-08,0.0108737,9.3159e-05
292,293,-0.0286683,-0.0283033,-0.0274876,-0.0237774,0.170998,0.00467736,4.165e-08,0.0501514,0.000429665
364,365,-0.0273476,-0.0311475,-0.0238439,-0.0282357,0.170998,0.00455572,4.165e-08,0.0488472,0.000418492
233,97,-0.0273617,-0.0314657,-0.0278987,-0.0320533,0.246621,0.000795963,1.2495e-07,0.00197249,0.000152091
399,233,-0.0278987,-0.0320533,-0.0308756,-0.0337603,0.215443,0.00343161,8.33e-08,0.0146018,0.000500397
96,399,-0.0308756,-0.0337603,-0.0341862,-0.0333273,0.170998,0.00333881,4.165e-08,0.0357993,0.000306705
398,399,-0.0308756,-0.0337603,-0.0316626,-0.0356462,0.170998,0.00204353,4.165e-08,0.0219111,0.000187721
232,233,-0.0278987,-0.0320533,-0.0283497,-0.0390861,0.170998,0.00704731,4.165e-08,0.0755625,0.000647371
245,37,-0.0210319,-0.0339361,-0.0202356,-0.0359419,0.327107,0.00215807,2.9155e-07,0.00172802,0.000725426
141,245,-0.0202356,-0.0359419,-0.0200783,-0.0399842,0.310723,0.00404535,2.499e-07,0.00397836,0.00122703
103,141,-0.0200783,-0.0399842,-0.0168056,-0.0443877,0.271442,0.00548647,1.666e-07,0.00926465,0.00126998
36,103,-0.0168056,-0.0443877,-0.0168056,-0.0443877,0.170998,0,4.165e-08,0,0
203,103,-0.0168056,-0.0443877,-0.0132687,-0.0452086,0.246621,0.00363092,1.2495e-07,0.00899783,0.000693789
377,203,-0.0132687,-0.0452086,-0.0112078,-0.0471057,0.215443,0.00280115,8.33e-08,0.0119192,0.000408463
102,377,-0.0112078,-0.0471057,-0.0110515,-0.0479515,0.170998,0.000860102,4.165e-08,0.00922216,7.90096e-05
376,377,-0.0112078,-0.0471057,-0.00662718,-0.047494,0.170998,0.00459702,4.165e-08,0.0492901,0.000422286
202,203,-0.0132687,-0.0452086,-0.0096201,-0.0435698,0.170998,0.00399968,4.165e-08,0.0428852,0.000367413
337,141,-0.0200783,-0.0399842,-0.0211926,-0.040448,0.215443,0.00120691,8.33e-08,0.00513553,0.000175992
140,337,-0.0211926,-0.040448,-0.023222,-0.0438946,0.170998,0.00399978,4.165e-08,0.0428863,0.000367423
336,337,-0.0211926,-0.040448,-0.0237919,-0.0397495,0.170998,0.00269152,4.165e-08,0.0288589,0.000247245
244,245,-0.0202356,-0.0359419,-0.0162205,-0.0367755,0.170998,0.00410075,4.165e-08,0.043969,0.000376698
391,139,-0.0170153,-0.0220491,-0.0149979,-0.0240718,0.215443,0.00285678,8.33e-08,0.0121559,0.000416576
138,391,-0.0149979,-0.0240718,-0.0132721,-0.0243044,0.170998,0.00174142,4.165e-08,0.0186718,0.000159968
390,391,-0.0149979,-0.0240718,-0.0145386,-0.0273851,0.170998,0.00334503,4.165e-08,0.0358659,0.000307276
162,163,-0.00627034,-0.0127304,-0.00975511,-0.00904825,0.170998,0.00506968,4.165e-08,0.054358,0.000465705
121,41,-0.00174327,-0.0106438,-0.00497241,-0.00320231,0.310723,0.00811189,2.499e-07,0.00797755,0.00246048
217,121,-0.00497241,-0.00320231,-0.00939331,-0.00229866,0.215443,0.00451231,8.33e-08,0.0192003,0.000657984
40,217,-0.00939331,-0.00229866,-0.0119913,0.000717501,0.170998,0.00398082,4.165e-08,0.0426831,0.000365681
216,217,-0.00939331,-0.00229866,-0.0144282,-0.00472703,0.170998,0.00558995,4.165e-08,0.0599364,0.000513497
157,121,-0.00497241,-0.00320231,-0.00337018,-0.000761066,0.271442,0.00292007,1.666e-07,0.00493094,0.000675922
120,157,-0.00337018,-0.000761066,-0.0035964,0.00213719,0.170998,0.00290707,4.165e-08,0.0311701,0.000267045
301,157,-0.00337018,-0.000761066,-0.00220744,-0.00101157,0.246621,0.00118941,1.2495e-07,0.0029475,0.000227271
389,301,-0.00220744,-0.00101157,-0.000516844,0.000819545,0.215443,0.00249221,8.33e-08,0.0106046,0.000363414
156,389,-0.000516844,0.000819545,0.00268191,0.00132575,0.170998,0.00323856,4.165e-08,0.0347244,0.000297496
388,389,-0.000516844,0.000819545,-2.81767e-05,0.00604748,0.170998,0.00525073,4.165e-08,0.0562992,0.000482335
300,301,-0.00220744,-0.00101157,-9.06131e-05,-0.00346217,0.170998,0.00323827,4.165e-08,0.0347213,0.00029747
131,101,-0.00174327,-0.0106438,0.00402131,-0.0139125,0.215443,0.00662685,8.33e-08,0.0281979,0.000966326
100,131,0.00402131,-0.0139125,0.00513619,-0.0166233,0.170998,0.00293111,4.165e-08,0.0314279,0.000269254
130,131,0.00402131,-0.0139125,0.00920721,-0.0131948,0.170998,0.00523533,4.165e-08,0.0561341,0.000480921
397,385,0.00441131,-0.00512773,0.00648232,-0.00817507,0.215443,0.00368447,8.33e-08,0.0156778,0.000537269
384,397,0.00648232,-0.00817507,0.00648232,-0.00817507,0.170998,0,4.165e-08,0,0
396,397,0.00648232,-0.00817507,0.00963154,-0.00944865,0.170998,0.003397,4.165e-08,0.0364232,0.000312051
142,143,0.00767198,-0.00180344,0.0100247,-0.00544931,0.170998,0.00433911,4.165e-08,0.0465246,0.000398594
226,227,0.011181,0.00217564,0.0141189,-0.00137938,0.170998,0.00461183,4.165e-08,0.0494488,0.000423646
193,3,0.012548,0.00402944,0.0153997,0.00383381,0.697953,0.00285849,2.8322e-06,0.000110427,0.00437461
9,193,0.0153997,0.00383381,0.0197085,0.00316228,0.694515,0.00436077,2.79055e-06,0.000171822,0.00660809
349,9,0.0197085,0.00316228,0.0208136,0.00113769,0.599073,0.00230656,1.79095e-06,0.000164169,0.0026006
107,349,0.0208136,0.00113769,0.0240129,-0.00369691,0.594392,0.0057973,1.7493e-06,0.000425771,0.00643461
263,107,0.0240129,-0.00369691,0.0259287,-0.00762496,0.589637,0.00437035,1.70765e-06,0.000331452,0.00477348
15,263,0.0259287,-0.00762496,0.0272177,-0.0113148,0.584804,0.00390851,1.666e-06,0.000306347,0.00419934
27,15,0.0272177,-0.0113148,0.0329135,-0.0113474,0.402073,0.00569596,5.4145e-07,0.00199798,0.00289285
51,27,0.0329135,-0.0113474,0.0387663,-0.0177981,0.310723,0.00871017,2.499e-07,0.00856592,0.00264195
89,51,0.0387663,-0.0177981,0.0409648,-0.017687,0.246621,0.00220129,1.2495e-07,0.00545505,0.000420619
235,89,0.0409648,-0.017687,0.0418386,-0.0183939,0.215443,0.00112393,8.33e-08,0.00478245,0.000163892
2,235,0.0418386,-0.0183939,0.0419635,-0.0183956,0.170998,0.00012488,4.165e-08,0.00133898,1.14716e-05
234,235,0.0418386,-0.0183939,0.0432102,-0.023623,0.170998,0.005406,4.165e-08,0.0579641,0.0004966
88,89,0.0409648,-0.017687,0.0477932,-0.0120285,0.170998,0.00886822,4.165e-08,0.0950866,0.000814641
371,51,0.0387663,-0.0177981,0.0380325,-0.0187914,0.246621,0.001235,1.2495e-07,0.00306047,0.000235981
223,371,0.0380325,-0.0187914,0.0371737,-0.0240887,0.215443,0.00536645,8.33e-08,0.0228348,0.000782535
50,223,0.0371737,-0.0240887,0.0398122,-0.0302376,0.170998,0.00669118,4.165e-08,0.071744,0.000614657
222,223,0.0371737,-0.0240887,0.0340657,-0.0265917,0.170998,0.0039905,4.165e-08,0.0427868,0.00036657
370,371,0.0380325,-0.0187914,0.0350034,-0.0190519,0.170998,0.00304027,4.165e-08,0.0325983,0.000279281
387,27,0.0329135,-0.0113474,0.0329135,-0.0113474,0.327107,0,2.9155e-07,0,0
303,387,0.0329135,-0.0113474,0.0330251,-0.0112833,0.310723,0.000128616,2.499e-07,0.000126486,3.90114e-05
213,303,0.0330251,-0.0112833,0.0379305,-0.0109294,0.292402,0.00491817,2.0825e-07,0.00616774,0.00132103
341,213,0.0379305,-0.0109294,0.038388,-0.010317,0.271442,0.000764396,1.666e-07,0.00129079,0.000176938
187,341,0.038388,-0.010317,0.044083,-0.00703402,0.246621,0.00657345,1.2495e-07,0.0162898,0.00125604
309,187,0.044083,-0.00703402,0.0447672,-0.00307448,0.215443,0.00401823,8.33e-08,0.017098,0.000585938
26,309,0.0447672,-0.00307448,0.048878,0.000805414,0.170998,0.0056526,4.165e-08,0.0606081,0.000519252
308,309,0.0447672,-0.00307448,0.0435015,-0.000700563,0.170998,0.00269028,4.165e-08,0.0288456,0.000247131
186,187,0.044083,-0.00703402,0.0460102,-0.0076303,0.170998,0.00201736,4.165e-08,0.0216305,0.000185317
340,341,0.038388,-0.010317,0.0374973,-0.00717052,0.170998,0.00327016,4.165e-08,0.0350632,0.000300399
212,213,0.0379305,-0.0109294,0.0401135,-0.0130358,0.170998,0.00303361,4.165e-08,0.0325268,0.000278669
302,303,0.0330251,-0.0112833,0.0340349,-0.00578177,0.170998,0.00559348,4.165e-08,0.0599742,0.000513821
386,387,0.0329135,-0.0113474,0.0316715,-0.0146201,0.170998,0.00350053,4.165e-08,0.0375332,0.000321561
31,15,0.0272177,-0.0113148,0.0260271,-0.0130739,0.512993,0.00212413,1.12455e-06,0.000281177,0.00175612
133,31,0.0260271,-0.0130739,0.0262259,-0.0174958,0.479142,0.00442631,9.163e-07,0.000769888,0.00319242
23,133,0.0262259,-0.0174958,0.0249293,-0.0237227,0.471769,0.00636046,8.7465e-07,0.0011771,0.00444732
