id,pai,x0,y0,x1,y1,raio,comprimento,fluxo,resistencia,volume
9,0,0,0.05,0,0.05,1,0,8.33e-06,0,0
17,9,0,0.05,-0.00719461,0.0392515,0.965489,0.0129341,7.497e-06,0.000136455,0.0378776
3,17,-0.00719461,0.0392515,-0.0156188,0.0167381,0.928318,0.0240379,6.664e-06,0.000296724,0.0650789
5,3,-0.0156188,0.0167381,-0.0156188,0.0167381,0.887904,0,5.831e-06,0,0
11,5,-0.0156188,0.0167381,-0.0210078,-0.00785212,0.584804,0.0251738,1.666e-06,0.00197311,0.027047
1,11,-0.0210078,-0.00785212,-0.005,-0.04,0.464159,0.0359129,8.33e-07,0.00709294,0.0243071
10,11,-0.0210078,-0.00785212,-0.0406616,-0.0274039,0.464159,0.0277226,8.33e-07,0.00547532,0.0187636
7,5,-0.0156188,0.0167381,0.0251849,0.000318665,0.793701,0.0439833,4.165e-06,0.00101602,0.0870465
15,7,0.0251849,0.000318665,0.0251849,0.000318665,0.584804,0,1.666e-06,0,0
4,15,0.0251849,0.000318665,0.0461139,0.00750205,0.464159,0.0221275,8.33e-07,0.00437027,0.0149767
14,15,0.0251849,0.000318665,0.0229355,0.0191962,0.464159,0.019011,8.33e-07,0.00375476,0.0128673
13,7,0.0251849,0.000318665,0.0256439,-0.0105746,0.669433,0.010903,2.499e-06,0.000497691,0.01535
6,13,0.0256439,-0.0105746,0.0380831,-0.0256786,0.464159,0.0195669,8.33e-07,0.00386453,0.0132435
19,13,0.0256439,-0.0105746,0.014582,-0.0281506,0.584804,0.0207673,1.666e-06,0.00162773,0.0223126
12,19,0.014582,-0.0281506,0.014582,-0.0281506,0.464159,0,8.33e-07,0,0
18,19,0.014582,-0.0281506,0.0155849,-0.0454273,0.464159,0.0173058,8.33e-07,0.00341796,0.0117132
2,3,-0.0156188,0.0167381,-0.0487292,-0.000873006,0.464159,0.0375027,8.33e-07,0.00740693,0.0253832
16,17,-0.00719461,0.0392515,-0.0250898,0.0423011,0.464159,0.0181532,8.33e-07,0.00358532,0.0122867
8,9,0,0.05,0.0284481,0.0409788,0.464159,0.0298442,8.33e-07,0.00589435,0.0201996
